Date ,     1,     2,     3,     4,     5,     6,     7,     8,     9,    10,    11,    12,    13,    14
2014-12-01, 5.253E+01, 4.925E+01, 4.615E+01, 4.579E+01, 5.158E+01, 5.030E+01, 4.574E+01, 5.054E+01, 4.595E+01, 4.646E+01, 4.939E+01, 4.726E+01, 4.790E+01, 5.023E+01
2014-12-02, 5.203E+01, 4.875E+01, 4.565E+01, 4.529E+01, 5.108E+01, 4.980E+01, 4.524E+01, 5.004E+01, 4.545E+01, 4.596E+01, 4.889E+01, 4.677E+01, 4.740E+01, 4.973E+01
2014-12-03, 5.155E+01, 4.827E+01, 4.517E+01, 4.482E+01, 5.060E+01, 4.932E+01, 5.172E+01, 4.956E+01, 6.247E+01, 5.329E+01, 4.841E+01, 6.400E+01, 4.693E+01, 4.925E+01
2014-12-04, 1.174E+02, 1.054E+02, 9.922E+01, 9.735E+01, 1.165E+02, 1.113E+02, 9.324E+01, 1.109E+02, 9.078E+01, 9.415E+01, 1.033E+02, 9.301E+01, 1.045E+02, 1.100E+02
2014-12-05, 1.248E+02, 1.237E+02, 1.146E+02, 1.133E+02, 1.230E+02, 1.228E+02, 1.142E+02, 1.191E+02, 1.135E+02, 1.137E+02, 1.114E+02, 1.160E+02, 1.106E+02, 1.164E+02
2014-12-06, 1.337E+02, 1.296E+02, 1.197E+02, 1.179E+02, 1.287E+02, 1.284E+02, 1.226E+02, 1.283E+02, 1.233E+02, 1.240E+02, 1.249E+02, 1.271E+02, 1.223E+02, 1.288E+02
2014-12-07, 1.654E+02, 1.550E+02, 1.449E+02, 1.437E+02, 1.629E+02, 1.590E+02, 1.439E+02, 1.599E+02, 1.455E+02, 1.458E+02, 1.542E+02, 1.497E+02, 1.505E+02, 1.581E+02
2014-12-08, 1.549E+02, 1.477E+02, 1.373E+02, 1.357E+02, 1.517E+02, 1.490E+02, 1.366E+02, 1.493E+02, 1.378E+02, 1.376E+02, 1.453E+02, 1.422E+02, 1.412E+02, 1.475E+02
2014-12-09, 1.125E+02, 1.074E+02, 1.007E+02, 9.985E+01, 1.121E+02, 1.111E+02, 1.029E+02, 1.122E+02, 1.067E+02, 1.043E+02, 1.079E+02, 1.131E+02, 1.070E+02, 1.128E+02
2014-12-10, 1.383E+02, 1.309E+02, 1.235E+02, 1.237E+02, 1.395E+02, 1.356E+02, 1.271E+02, 1.380E+02, 1.320E+02, 1.311E+02, 1.371E+02, 1.369E+02, 1.336E+02, 1.394E+02
2014-12-11, 1.535E+02, 1.454E+02, 1.359E+02, 1.354E+02, 1.511E+02, 1.485E+02, 1.370E+02, 1.505E+02, 1.399E+02, 1.400E+02, 1.482E+02, 1.447E+02, 1.431E+02, 1.508E+02
2014-12-12, 1.616E+02, 1.527E+02, 1.426E+02, 1.413E+02, 1.593E+02, 1.559E+02, 1.425E+02, 1.572E+02, 1.439E+02, 1.452E+02, 1.546E+02, 1.491E+02, 1.493E+02, 1.573E+02
2014-12-13, 1.615E+02, 1.530E+02, 1.425E+02, 1.414E+02, 1.585E+02, 1.553E+02, 1.423E+02, 1.570E+02, 1.439E+02, 1.448E+02, 1.538E+02, 1.488E+02, 1.487E+02, 1.567E+02
2014-12-14, 1.573E+02, 1.491E+02, 1.385E+02, 1.371E+02, 1.544E+02, 1.511E+02, 1.383E+02, 1.519E+02, 1.392E+02, 1.403E+02, 1.477E+02, 1.440E+02, 1.436E+02, 1.514E+02
2014-12-15, 1.455E+02, 1.377E+02, 1.276E+02, 1.250E+02, 1.395E+02, 1.391E+02, 1.249E+02, 1.379E+02, 1.233E+02, 1.266E+02, 1.335E+02, 1.265E+02, 1.306E+02, 1.377E+02
2014-12-16, 4.748E+01, 4.497E+01, 4.178E+01, 4.080E+01, 4.654E+01, 4.527E+01, 4.410E+01, 4.551E+01, 4.499E+01, 4.169E+01, 4.437E+01, 5.156E+01, 4.289E+01, 4.520E+01
2014-12-17, 4.734E+01, 4.409E+01, 4.101E+01, 4.066E+01, 4.640E+01, 4.513E+01, 4.060E+01, 4.537E+01, 4.081E+01, 4.132E+01, 4.422E+01, 4.212E+01, 4.275E+01, 4.505E+01
2014-12-18, 7.274E+01, 7.356E+01, 6.811E+01, 6.680E+01, 7.229E+01, 7.684E+01, 7.209E+01, 7.608E+01, 7.266E+01, 7.270E+01, 7.076E+01, 7.518E+01, 7.372E+01, 7.280E+01
2014-12-19, 1.377E+02, 1.275E+02, 1.190E+02, 1.179E+02, 1.344E+02, 1.325E+02, 1.175E+02, 1.329E+02, 1.202E+02, 1.197E+02, 1.286E+02, 1.247E+02, 1.258E+02, 1.328E+02
2014-12-20, 1.385E+02, 1.286E+02, 1.200E+02, 1.188E+02, 1.377E+02, 1.326E+02, 1.192E+02, 1.333E+02, 1.209E+02, 1.218E+02, 1.286E+02, 1.262E+02, 1.256E+02, 1.326E+02
2014-12-21, 1.466E+02, 1.405E+02, 1.303E+02, 1.290E+02, 1.439E+02, 1.412E+02, 1.303E+02, 1.417E+02, 1.311E+02, 1.317E+02, 1.389E+02, 1.353E+02, 1.341E+02, 1.413E+02
2014-12-22, 1.512E+02, 1.432E+02, 1.327E+02, 1.312E+02, 1.482E+02, 1.451E+02, 1.320E+02, 1.457E+02, 1.317E+02, 1.332E+02, 1.415E+02, 1.360E+02, 1.376E+02, 1.451E+02
2014-12-23, 7.528E+01, 7.028E+01, 6.546E+01, 6.484E+01, 7.308E+01, 7.171E+01, 6.465E+01, 7.199E+01, 6.418E+01, 1.312E+02, 1.374E+02, 1.325E+02, 1.359E+02, 1.429E+02
2014-12-24, 1.436E+02, 1.348E+02, 1.263E+02, 1.253E+02, 1.410E+02, 1.390E+02, 1.239E+02, 1.394E+02, 1.235E+02, 1.257E+02, 1.349E+02, 1.277E+02, 1.318E+02, 1.391E+02
2014-12-25, 1.370E+02, 1.283E+02, 1.199E+02, 1.189E+02, 1.343E+02, 1.324E+02, 1.183E+02, 1.328E+02, 1.203E+02, 1.209E+02, 1.285E+02, 1.244E+02, 1.256E+02, 1.326E+02
2014-12-26, 1.177E+02, 1.094E+02, 1.027E+02, 1.013E+02, 1.172E+02, 1.144E+02, 1.005E+02, 1.150E+02, 1.032E+02, 1.033E+02, 1.114E+02, 1.065E+02, 1.099E+02, 1.172E+02
2014-12-27, 8.787E+01, 8.839E+01, 8.077E+01, 7.876E+01, 8.682E+01, 8.898E+01, 8.365E+01, 8.864E+01, 8.317E+01, 8.330E+01, 8.404E+01, 8.603E+01, 8.506E+01, 8.958E+01
2014-12-28, 4.739E+01, 4.414E+01, 4.106E+01, 4.070E+01, 4.645E+01, 4.518E+01, 4.065E+01, 4.542E+01, 4.086E+01, 4.137E+01, 4.428E+01, 4.217E+01, 4.280E+01, 4.511E+01
2014-12-29, 4.755E+01, 4.429E+01, 4.121E+01, 4.086E+01, 4.660E+01, 4.533E+01, 4.080E+01, 4.557E+01, 4.101E+01, 4.152E+01, 4.443E+01, 4.232E+01, 4.295E+01, 4.526E+01
2014-12-30, 4.772E+01, 4.447E+01, 4.138E+01, 4.103E+01, 4.678E+01, 4.551E+01, 4.097E+01, 4.575E+01, 4.119E+01, 4.170E+01, 4.460E+01, 4.249E+01, 4.313E+01, 4.544E+01
2014-12-31, 4.793E+01, 4.467E+01, 4.158E+01, 4.123E+01, 4.698E+01, 4.571E+01, 4.117E+01, 4.595E+01, 4.139E+01, 4.189E+01, 4.481E+01, 4.269E+01, 4.333E+01, 4.564E+01
