Date ,     1,     2,     3,     4,     5,     6,     7,     8,     9,    10,    11,    12,    13,    14
2014-12-01,-5.290E+00,-5.395E+00,-5.380E+00,-5.370E+00,-5.345E+00,-5.345E+00,-5.260E+00,-5.055E+00,-4.905E+00,-4.925E+00,-4.900E+00,-4.780E+00,-4.900E+00,-4.915E+00
2014-12-02, 4.670E+00, 3.520E+00, 3.705E+00, 3.755E+00, 4.735E+00, 4.575E+00, 3.310E+00, 4.565E+00, 3.515E+00, 3.755E+00, 4.100E+00, 3.700E+00, 4.150E+00, 4.255E+00
2014-12-03, 1.065E+01, 1.016E+01, 9.920E+00, 9.880E+00, 1.040E+01, 1.032E+01, 9.915E+00, 1.016E+01, 9.940E+00, 9.800E+00, 9.950E+00, 9.930E+00, 9.950E+00, 9.950E+00
2014-12-04, 1.440E+01, 1.386E+01, 1.380E+01, 1.353E+01, 1.400E+01, 1.377E+01, 1.344E+01, 1.365E+01, 1.311E+01, 1.322E+01, 1.342E+01, 1.297E+01, 1.349E+01, 1.336E+01
2014-12-05, 1.535E+01, 1.549E+01, 1.516E+01, 1.497E+01, 1.490E+01, 1.489E+01, 1.522E+01, 1.465E+01, 1.506E+01, 1.488E+01, 1.445E+01, 1.491E+01, 1.444E+01, 1.433E+01
2014-12-06, 1.641E+01, 1.633E+01, 1.611E+01, 1.618E+01, 1.653E+01, 1.627E+01, 1.698E+01, 1.651E+01, 1.764E+01, 1.718E+01, 1.678E+01, 1.782E+01, 1.670E+01, 1.650E+01
2014-12-07, 2.795E+01, 2.727E+01, 2.736E+01, 2.740E+01, 2.813E+01, 2.778E+01, 2.742E+01, 2.783E+01, 2.784E+01, 2.750E+01, 2.750E+01, 2.778E+01, 2.757E+01, 2.750E+01
2014-12-08, 2.267E+01, 2.257E+01, 2.233E+01, 2.210E+01, 2.210E+01, 2.228E+01, 2.192E+01, 2.205E+01, 2.202E+01, 2.180E+01, 2.210E+01, 2.208E+01, 2.200E+01, 2.180E+01
2014-12-09, 1.490E+01, 1.402E+01, 1.406E+01, 1.414E+01, 1.490E+01, 1.484E+01, 1.385E+01, 1.486E+01, 1.416E+01, 1.412E+01, 1.445E+01, 1.427E+01, 1.448E+01, 1.448E+01
2014-12-10, 2.153E+01, 2.077E+01, 2.102E+01, 2.124E+01, 2.210E+01, 2.161E+01, 2.131E+01, 2.188E+01, 2.208E+01, 2.187E+01, 2.210E+01, 2.217E+01, 2.201E+01, 2.185E+01
2014-12-11, 2.647E+01, 2.588E+01, 2.595E+01, 2.614E+01, 2.615E+01, 2.619E+01, 2.635E+01, 2.655E+01, 2.703E+01, 2.663E+01, 2.660E+01, 2.713E+01, 2.659E+01, 2.658E+01
2014-12-12, 3.130E+01, 3.100E+01, 3.110E+01, 3.110E+01, 3.110E+01, 3.110E+01, 3.123E+01, 3.130E+01, 3.151E+01, 3.148E+01, 3.150E+01, 3.152E+01, 3.110E+01, 3.132E+01
2014-12-13, 3.065E+01, 3.098E+01, 3.091E+01, 3.102E+01, 3.065E+01, 3.069E+01, 3.149E+01, 3.096E+01, 3.199E+01, 3.164E+01, 3.135E+01, 3.212E+01, 3.089E+01, 3.079E+01
2014-12-14, 3.094E+01, 3.087E+01, 3.067E+01, 3.051E+01, 3.065E+01, 3.056E+01, 3.056E+01, 3.031E+01, 3.027E+01, 3.047E+01, 3.019E+01, 3.036E+01, 3.020E+01, 3.017E+01
2014-12-15, 2.371E+01, 2.370E+01, 2.321E+01, 2.300E+01, 2.300E+01, 2.299E+01, 2.310E+01, 2.258E+01, 2.289E+01, 2.297E+01, 2.273E+01, 2.278E+01, 2.256E+01, 2.255E+01
2014-12-16, 1.140E+01, 1.102E+01, 1.095E+01, 1.090E+01, 1.085E+01, 1.095E+01, 1.100E+01, 1.085E+01, 1.136E+01, 1.127E+01, 1.130E+01, 1.156E+01, 1.111E+01, 1.099E+01
2014-12-17, 7.750E+00, 6.875E+00, 7.050E+00, 7.175E+00, 8.150E+00, 7.780E+00, 7.005E+00, 8.045E+00, 7.580E+00, 7.710E+00, 8.600E+00, 7.645E+00, 8.350E+00, 8.230E+00
2014-12-18, 1.225E+01, 1.188E+01, 1.198E+01, 1.210E+01, 1.220E+01, 1.220E+01, 1.227E+01, 1.228E+01, 1.261E+01, 1.265E+01, 1.265E+01, 1.260E+01, 1.265E+01, 1.233E+01
2014-12-19, 2.322E+01, 2.222E+01, 2.235E+01, 2.237E+01, 2.345E+01, 2.306E+01, 2.201E+01, 2.308E+01, 2.247E+01, 2.235E+01, 2.300E+01, 2.257E+01, 2.300E+01, 2.300E+01
2014-12-20, 2.278E+01, 2.166E+01, 2.194E+01, 2.204E+01, 2.300E+01, 2.260E+01, 2.133E+01, 2.262E+01, 2.143E+01, 2.181E+01, 2.213E+01, 2.162E+01, 2.242E+01, 2.247E+01
2014-12-21, 2.428E+01, 2.401E+01, 2.398E+01, 2.406E+01, 2.435E+01, 2.433E+01, 2.415E+01, 2.435E+01, 2.456E+01, 2.434E+01, 2.464E+01, 2.463E+01, 2.438E+01, 2.435E+01
2014-12-22, 2.956E+01, 2.920E+01, 2.897E+01, 2.891E+01, 2.930E+01, 2.929E+01, 2.898E+01, 2.909E+01, 2.881E+01, 2.885E+01, 2.885E+01, 2.849E+01, 2.885E+01, 2.885E+01
2014-12-23, 2.962E+01, 2.906E+01, 2.899E+01, 2.890E+01, 2.930E+01, 2.918E+01, 2.855E+01, 2.886E+01, 2.812E+01, 2.865E+01, 2.840E+01, 2.809E+01, 2.883E+01, 2.871E+01
2014-12-24, 2.640E+01, 2.595E+01, 2.600E+01, 2.602E+01, 2.615E+01, 2.616E+01, 2.577E+01, 2.615E+01, 2.610E+01, 2.585E+01, 2.615E+01, 2.610E+01, 2.615E+01, 2.615E+01
2014-12-25, 2.378E+01, 2.347E+01, 2.315E+01, 2.283E+01, 2.300E+01, 2.312E+01, 2.284E+01, 2.281E+01, 2.278E+01, 2.265E+01, 2.255E+01, 2.268E+01, 2.255E+01, 2.255E+01
2014-12-26, 1.580E+01, 1.509E+01, 1.505E+01, 1.469E+01, 1.509E+01, 1.515E+01, 1.438E+01, 1.494E+01, 1.430E+01, 1.440E+01, 1.482E+01, 1.430E+01, 1.485E+01, 1.486E+01
2014-12-27, 9.830E+00, 9.100E+00, 9.115E+00, 9.120E+00, 9.950E+00, 9.735E+00, 8.985E+00, 9.875E+00, 9.135E+00, 9.285E+00, 9.625E+00, 9.265E+00, 9.840E+00, 9.855E+00
2014-12-28, 6.025E+00, 4.915E+00, 4.705E+00, 4.610E+00, 5.000E+00, 5.065E+00, 4.330E+00, 4.825E+00, 4.815E+00, 4.550E+00, 4.555E+00, 4.845E+00, 4.550E+00, 4.550E+00
2014-12-29,-7.870E+00,-8.715E+00,-8.600E+00,-8.375E+00,-7.600E+00,-7.905E+00,-8.530E+00,-7.610E+00,-7.995E+00,-7.910E+00,-7.250E+00,-7.700E+00,-7.600E+00,-7.540E+00
2014-12-30,-7.455E+00,-8.385E+00,-8.260E+00,-8.050E+00,-7.150E+00,-7.495E+00,-8.275E+00,-7.325E+00,-7.580E+00,-7.625E+00,-7.110E+00,-7.345E+00,-7.270E+00,-7.375E+00
2014-12-31, 5.000E+00, 4.615E+00, 4.750E+00, 4.870E+00, 5.450E+00, 5.360E+00, 4.830E+00, 5.450E+00, 4.955E+00, 5.035E+00, 5.320E+00, 5.010E+00, 5.435E+00, 5.450E+00
