Date seg_outflow_7_gage_06469400
year month day cfs
1980 10 01 .5299
1980 10 02 6.9365
1980 10 03 12.8996
1980 10 04 18.4979
1980 10 05 25.6362
1980 10 06 31.7883
1980 10 07 36.0962
1980 10 08 39.5955
1980 10 09 42.8418
1980 10 10 45.5560
1980 10 11 47.4004
1980 10 12 48.3726
1980 10 13 48.6945
1980 10 14 48.6147
1980 10 15 48.3157
1980 10 16 48.1633
1980 10 17 52.3091
1980 10 18 71.8587
1980 10 19 81.6577
1980 10 20 127.0699
1980 10 21 176.4163
1980 10 22 202.9906
1980 10 23 199.3531
1980 10 24 179.8968
1980 10 25 167.3975
1980 10 26 198.3810
1980 10 27 221.0016
1980 10 28 198.0624
1980 10 29 160.4531
1980 10 30 129.0805
1980 10 31 106.4188
1980 11 01 90.3100
1980 11 02 79.0190
1980 11 03 71.4897
1980 11 04 66.8011
1980 11 05 64.0490
1980 11 06 62.4775
1980 11 07 61.5547
1980 11 08 61.1335
1980 11 09 62.6555
1980 11 10 64.0708
1980 11 11 72.9545
1980 11 12 85.2404
1980 11 13 83.2834
1980 11 14 75.6708
1980 11 15 75.3106
1980 11 16 84.2522
1980 11 17 81.2320
1980 11 18 72.2054
1980 11 19 65.4153
1980 11 20 61.9034
1980 11 21 61.8119
1980 11 22 60.2867
1980 11 23 65.6565
1980 11 24 76.9302
1980 11 25 74.8091
1980 11 26 66.6052
1980 11 27 60.4708
1980 11 28 57.2002
1980 11 29 55.5499
1980 11 30 54.6170
1980 12 01 53.9878
1980 12 02 53.4938
1980 12 03 53.0620
1980 12 04 52.6570
1980 12 05 52.2607
1980 12 06 51.8646
1980 12 07 51.4655
1980 12 08 51.0622
1980 12 09 50.6548
1980 12 10 50.2439
1980 12 11 49.8305
1980 12 12 49.4152
1980 12 13 48.9984
1980 12 14 48.5804
1980 12 15 48.1613
1980 12 16 47.7413
1980 12 17 47.3251
1980 12 18 47.0052
1980 12 19 47.3075
1980 12 20 48.1464
1980 12 21 47.5998
1980 12 22 46.4300
1980 12 23 45.4815
1980 12 24 44.8085
1980 12 25 44.2549
1980 12 26 43.7401
1980 12 27 43.2512
1980 12 28 42.7893
1980 12 29 42.3507
1980 12 30 41.9282
1980 12 31 41.5156
1981 01 01 41.1086
1981 01 02 40.7053
1981 01 03 40.3045
1981 01 04 39.9058
1981 01 05 39.5092
1981 01 06 39.1147
1981 01 07 38.7223
1981 01 08 38.3322
1981 01 09 37.9443
1981 01 10 37.5588
1981 01 11 37.1757
1981 01 12 36.7951
1981 01 13 36.4170
1981 01 14 36.0414
1981 01 15 35.6685
1981 01 16 35.2981
1981 01 17 34.9303
1981 01 18 34.5652
1981 01 19 34.2026
1981 01 20 33.8427
1981 01 21 33.4854
1981 01 22 33.1307
1981 01 23 32.7786
1981 01 24 32.4292
1981 01 25 32.0825
1981 01 26 31.7385
1981 01 27 31.3994
1981 01 28 31.0955
1981 01 29 30.8841
1981 01 30 30.7154
1981 01 31 30.4342
1981 02 01 30.0445
1981 02 02 29.6408
1981 02 03 29.2728
1981 02 04 28.9423
1981 02 05 28.6363
1981 02 06 28.3435
1981 02 07 28.0574
1981 02 08 27.7750
1981 02 09 27.4950
1981 02 10 27.2167
1981 02 11 26.9400
1981 02 12 26.6649
1981 02 13 26.3913
1981 02 14 26.1193
1981 02 15 25.8488
1981 02 16 25.5799
1981 02 17 25.3142
1981 02 18 25.0505
1981 02 19 24.7895
1981 02 20 24.5316
1981 02 21 24.2747
1981 02 22 24.0165
1981 02 23 23.7578
1981 02 24 23.4987
1981 02 25 23.2381
1981 02 26 22.9758
1981 02 27 22.7981
1981 02 28 23.4699
1981 03 01 23.5159
1981 03 02 28.9284
1981 03 03 38.8386
1981 03 04 37.4039
1981 03 05 30.8589
1981 03 06 26.0741
1981 03 07 23.6400
1981 03 08 22.3813
1981 03 09 21.5402
1981 03 10 20.8836
1981 03 11 20.3703
1981 03 12 19.9751
1981 03 13 19.6604
1981 03 14 19.3912
1981 03 15 19.1428
1981 03 16 18.9009
1981 03 17 18.6586
1981 03 18 18.4131
1981 03 19 18.1637
1981 03 20 17.9104
1981 03 21 17.6540
1981 03 22 17.3958
1981 03 23 17.1366
1981 03 24 16.8764
1981 03 25 16.6188
1981 03 26 16.3951
1981 03 27 16.1530
1981 03 28 16.1404
1981 03 29 16.4992
1981 03 30 16.2592
1981 03 31 16.6428
1981 04 01 18.4957
1981 04 02 19.3337
1981 04 03 20.1083
1981 04 04 27.2660
1981 04 05 36.3611
1981 04 06 33.2832
1981 04 07 25.4336
1981 04 08 19.6351
1981 04 09 16.4399
1981 04 10 14.7570
1981 04 11 13.8075
1981 04 12 13.2212
1981 04 13 12.8267
1981 04 14 12.5341
1981 04 15 12.2923
1981 04 16 12.0735
1981 04 17 11.8637
1981 04 18 11.6562
1981 04 19 11.4477
1981 04 20 11.2362
1981 04 21 11.0208
1981 04 22 10.8034
1981 04 23 10.5988
1981 04 24 10.3943
1981 04 25 10.2751
1981 04 26 10.2395
1981 04 27 10.0376
1981 04 28 10.0344
1981 04 29 9.8469
1981 04 30 10.3371
